message,severity,node,stamp,location
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224101.28558,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224101.26976,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224101.25349,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224101.251,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224101.2372,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224101.23568,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224101.2219,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224101.21927,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224101.20553,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224101.20372,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224101.09357,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224101.07712,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224101.0658,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224101.0635,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224101.06173,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224101.05038,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224101.04805,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224101.04531,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224101.03388,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224101.01828,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.96507,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.92179,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.91923,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.91699,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.90638,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.69572,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.69357,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.68158,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.64981,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.64755,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.64535,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.63348,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.63214,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.62897,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.6182,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.61539,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.61352,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.60195,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.58359,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.58174,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.57033,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.56731,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.56537,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.55407,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.55198,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.52235,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.51918,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.51705,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.50598,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.50374,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.50157,./src/turtle.cpp:update:260
